,Duration,Resource Cost,Fixed Cost,Cost/Hour,Variable Cost,Total Cost,Actual Duration,Actual Cost
count,4644.0,4644.0,4644.0,4644.0,4644.0,4644.0,4644.0,4644.0
mean,10.593534668389319,432.06685170846765,24286.66125445682,192.424702196183,23314.238981934275,48032.96708809957,10.602147932816537,51248.096650229556
std,23.060043741973686,2147.3523755858687,177588.2146149145,1335.8461200944873,246559.02140029785,302983.6979648798,25.449603866228614,332993.74683382834
min,0.125,0.0,0.0,0.0,0.0,0.00999999977648258,0.125,0.00999999977648258
25%,2.0,0.0,0.0,0.0,0.0,1281.8674926757826,2.0,1252.932507324215
50%,5.0,0.0,356.9450073242185,0.0,0.0,3902.7449951171902,5.0,4045.09999084473
75%,10.0,0.0,7724.985107421875,115.910003662109,2971.20002746582,16904.02001953125,10.0,18420.554916381825
max,483.0,63000.0,6086606.5,42778.6953125,7186820.8125,7186820.8125,669.0,9037688.5
